                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0226,                 1.9511,                0.93401,                 1.0429,                0.77638,                0.64007,                0.73465,                0.54072,                0.77262,                 0.6192,                0.70987,                0.46999,                0.83802,                 1.6432,                0.76751,                0.98008,               0.007723,               0.007723,               0.007723
                     26,                 1.0184,                 1.9495,                0.93449,                 1.0413,                0.76859,                0.64532,                0.73523,                 0.5415,                0.77078,                0.61869,                 0.7103,                0.47037,                0.83633,                 1.6396,                0.76555,                0.97933,               0.007624,               0.007624,               0.007624
                     27,                 1.0147,                 1.9342,                0.93002,                 1.0408,                0.77033,                0.64461,                0.73581,                0.54218,                0.76973,                0.62049,                0.71042,                0.47121,                0.83415,                 1.6375,                0.76441,                0.97826,               0.007525,               0.007525,               0.007525
                     28,                 1.0208,                 1.9399,                0.92797,                  1.039,                0.77313,                0.64342,                0.73615,                0.54253,                0.76817,                  0.622,                0.71079,                0.47157,                 0.8332,                 1.6359,                0.76322,                  0.978,               0.007426,               0.007426,               0.007426
                     29,                 1.0161,                 1.9358,                0.93045,                 1.0418,                 0.7713,                0.64498,                0.73636,                0.54295,                0.76841,                0.62371,                0.71119,                 0.4718,                0.83193,                 1.6355,                0.76222,                0.97733,               0.007327,               0.007327,               0.007327
                     30,                 1.0112,                  1.929,                0.92235,                 1.0365,                0.77224,                0.64532,                0.73682,                0.54373,                0.76734,                0.62541,                0.71194,                0.47211,                0.83079,                 1.6343,                0.76115,                0.97679,               0.007228,               0.007228,               0.007228
                     31,                 1.0184,                 1.9424,                0.92372,                 1.0369,                0.77443,                0.64566,                0.73744,                0.54436,                0.76832,                 0.6251,                0.71239,                0.47257,                0.82957,                 1.6327,                0.75999,                0.97618,               0.007129,               0.007129,               0.007129
                     32,                  1.009,                 1.9304,                0.91983,                 1.0373,                0.77259,                0.64744,                0.73762,                0.54471,                0.76729,                0.62598,                0.71241,                0.47295,                 0.8289,                 1.6315,                0.75897,                0.97585,                0.00703,                0.00703,                0.00703
                     33,                 1.0042,                 1.9214,                0.92057,                 1.0378,                 0.7733,                0.64722,                0.73755,                0.54508,                0.76925,                0.62476,                0.71274,                 0.4733,                0.82809,                 1.6304,                0.75832,                0.97549,               0.006931,               0.006931,               0.006931
                     34,                 1.0072,                  1.916,                0.91436,                 1.0361,                0.77263,                0.64825,                0.73809,                0.54561,                0.77038,                0.62381,                0.71284,                 0.4737,                0.82701,                 1.6286,                0.75739,                0.97514,               0.006832,               0.006832,               0.006832
                     35,                 1.0111,                 1.9264,                0.91794,                  1.035,                0.77373,                0.64729,                0.73828,                 0.5459,                0.77013,                0.62442,                0.71308,                0.47407,                0.82598,                 1.6282,                0.75665,                 0.9749,               0.006733,               0.006733,               0.006733
